kind,run_file,run_mtime,victory,floor_reached,killed_by,combats,total_damage,total_turns,lethal_damage,lethal_turns,deck_size,nonstarter_cards,relic_count,potions_obtained,potions_used,items_purchased,purges,act1_elites,boss_reached
run,1779632241.run,1779632241.926772,False,8,3 Sentries,4,87,13,84,8,11,2,3,2,0,0,1,1,False
run,1779632271.run,1779632271.8153386,False,10,Lots of Slimes,4,103,14,31,2,12,5,4,1,0,0,1,0,False
run,1779632849.run,1779632849.9768481,False,8,Exordium Wildlife,4,71,13,63,7,12,3,3,1,0,0,0,0,False
run,1779632890.run,1779632890.5134404,False,10,Exordium Thugs,6,92,18,49,4,12,4,3,2,0,0,1,0,False
run,1779632921.run,1779632921.829951,False,8,Large Slime,5,71,13,11,1,12,3,2,1,0,0,0,0,False
run,1779632997.run,1779632997.8299944,False,13,Lagavulin Event,7,175,44,18,3,13,5,4,3,0,0,1,0,False
run,1779633041.run,1779633041.0886793,False,10,Blue Slaver,5,96,22,35,5,12,6,5,1,0,0,1,0,False
run,1779633067.run,1779633067.8710384,False,8,Exordium Thugs,4,82,11,82,7,9,2,2,0,0,0,1,0,False
run,1779633106.run,1779633106.4338048,False,8,Large Slime,4,90,20,82,14,9,2,2,1,0,0,0,0,False
run,1779633147.run,1779633147.6054604,False,10,The Mushroom Lair,5,96,20,83,10,10,2,3,1,0,1,1,0,False
run,1779633187.run,1779633187.201572,False,8,Large Slime,5,93,20,53,9,13,3,4,3,0,0,0,0,False
run,1779633216.run,1779633216.005876,False,10,Exordium Thugs,4,71,11,71,7,11,3,4,3,0,0,1,0,False
run,1779633255.run,1779633255.2717724,False,13,The Mushroom Lair,5,83,17,58,4,12,6,4,1,0,0,1,0,False
run,1779633302.run,1779633302.9141262,False,10,Large Slime,5,92,22,75,15,11,4,3,3,0,0,1,0,False
run,1779633371.run,1779633371.2002983,False,16,Hexaghost,8,139,36,40,8,16,7,4,5,0,0,1,0,True
