run_file,run_mtime,floor,enemies,damage,turns,lethal,victory,killed_by,run_floor
1779632241.run,1779632241.926772,1,2 Louse,0,1,False,False,3 Sentries,8
1779632241.run,1779632241.926772,3,Small Slimes,3,3,False,False,3 Sentries,8
1779632241.run,1779632241.926772,7,Cultist,0,1,False,False,3 Sentries,8
1779632241.run,1779632241.926772,8,3 Sentries,84,8,True,False,3 Sentries,8
1779632271.run,1779632271.8153386,1,2 Louse,7,3,False,False,Lots of Slimes,10
1779632271.run,1779632271.8153386,4,Jaw Worm,11,2,False,False,Lots of Slimes,10
1779632271.run,1779632271.8153386,5,Cultist,54,7,False,False,Lots of Slimes,10
1779632271.run,1779632271.8153386,10,Lots of Slimes,31,2,True,False,Lots of Slimes,10
1779632849.run,1779632849.9768481,1,Jaw Worm,0,1,False,False,Exordium Wildlife,8
1779632849.run,1779632849.9768481,3,Small Slimes,8,4,False,False,Exordium Wildlife,8
1779632849.run,1779632849.9768481,7,2 Louse,0,1,False,False,Exordium Wildlife,8
1779632849.run,1779632849.9768481,8,Exordium Wildlife,63,7,True,False,Exordium Wildlife,8
1779632890.run,1779632890.5134404,1,Small Slimes,0,2,False,False,Exordium Thugs,10
1779632890.run,1779632890.5134404,3,Cultist,0,1,False,False,Exordium Thugs,10
1779632890.run,1779632890.5134404,5,Jaw Worm,0,1,False,False,Exordium Thugs,10
1779632890.run,1779632890.5134404,6,Blue Slaver,16,5,False,False,Exordium Thugs,10
1779632890.run,1779632890.5134404,8,Looter,27,5,False,False,Exordium Thugs,10
1779632890.run,1779632890.5134404,10,Exordium Thugs,49,4,True,False,Exordium Thugs,10
1779632921.run,1779632921.829951,1,Cultist,0,2,False,False,Large Slime,8
1779632921.run,1779632921.829951,2,2 Louse,0,1,False,False,Large Slime,8
1779632921.run,1779632921.829951,4,Jaw Worm,0,1,False,False,Large Slime,8
1779632921.run,1779632921.829951,7,Gremlin Gang,60,8,False,False,Large Slime,8
1779632921.run,1779632921.829951,8,Large Slime,11,1,True,False,Large Slime,8
1779632997.run,1779632997.8299944,1,Cultist,0,1,False,False,Lagavulin Event,13
1779632997.run,1779632997.8299944,3,Jaw Worm,11,2,False,False,Lagavulin Event,13
1779632997.run,1779632997.8299944,4,2 Louse,5,4,False,False,Lagavulin Event,13
1779632997.run,1779632997.8299944,5,Red Slaver,63,10,False,False,Lagavulin Event,13
1779632997.run,1779632997.8299944,11,2 Fungi Beasts,16,9,False,False,Lagavulin Event,13
1779632997.run,1779632997.8299944,12,Large Slime,62,15,False,False,Lagavulin Event,13
